model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,11d21b4037c4406995d61136f6c3f852,1.0,1.0,1.0,runs:/11d21b4037c4406995d61136f6c3f852/model
gradient_boosting,adeeccb9cb61499484b70f3cdf3286c1,1.0,1.0,1.0,runs:/adeeccb9cb61499484b70f3cdf3286c1/model
svc,ccb00111f28b4c03857ead31c7f41c75,1.0,1.0,1.0,runs:/ccb00111f28b4c03857ead31c7f41c75/model
xgboost,d9b5eb1516974c64bff883a94ed29df7,1.0,1.0,1.0,runs:/d9b5eb1516974c64bff883a94ed29df7/model
logistic_regression,d358521c3d5d499b84d893184a6d1047,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/d358521c3d5d499b84d893184a6d1047/model
pytorch_mlp,b7098f9dd9c94628b4cc64eddf7fd234,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/b7098f9dd9c94628b4cc64eddf7fd234/model
