model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
logistic_regression,0505c98db80649fda12ba31c42df156b,1.0,1.0,1.0,runs:/0505c98db80649fda12ba31c42df156b/model
random_forest,c9b27ecfe8684e5ba06176e350f27ff6,1.0,1.0,1.0,runs:/c9b27ecfe8684e5ba06176e350f27ff6/model
gradient_boosting,96eeb3e19ca34396bba12376c006ef33,1.0,1.0,1.0,runs:/96eeb3e19ca34396bba12376c006ef33/model
svc,4c752d6db801499d93a16ac096b1721c,1.0,1.0,1.0,runs:/4c752d6db801499d93a16ac096b1721c/model
pytorch_mlp,187580259ea343d6aacd2d21c5bbe3c7,1.0,1.0,1.0,runs:/187580259ea343d6aacd2d21c5bbe3c7/model
xgboost,9864c7a4265a4cc7b38d7471686e8173,0.9166666666666666,0.9259259259259259,0.9166666666666666,runs:/9864c7a4265a4cc7b38d7471686e8173/model
