model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,45ee8b03e3cc45f896cef1a8a35e847d,1.0,1.0,1.0,runs:/45ee8b03e3cc45f896cef1a8a35e847d/model
gradient_boosting,6623245851d04fc09c4c12ddb6c9857e,1.0,1.0,1.0,runs:/6623245851d04fc09c4c12ddb6c9857e/model
svc,bcc99f48c4774b298601d3ac82bc4fd4,1.0,1.0,1.0,runs:/bcc99f48c4774b298601d3ac82bc4fd4/model
xgboost,b34b32a714774a5ab5bc9ac81db23fff,1.0,1.0,1.0,runs:/b34b32a714774a5ab5bc9ac81db23fff/model
logistic_regression,8584dd3c6dad4d58b498786d8970b243,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/8584dd3c6dad4d58b498786d8970b243/model
pytorch_mlp,6bc5a806012947efa36148ae1c492598,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/6bc5a806012947efa36148ae1c492598/model
