model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
logistic_regression,b9bd5e44d99a4d3ea5757c8650db0a43,1.0,1.0,1.0,runs:/b9bd5e44d99a4d3ea5757c8650db0a43/model
random_forest,253b374ab5c74e8c9557caf9cc5d7716,1.0,1.0,1.0,runs:/253b374ab5c74e8c9557caf9cc5d7716/model
gradient_boosting,cb4ea5a93a294ca89a8562c41a6a9cdd,1.0,1.0,1.0,runs:/cb4ea5a93a294ca89a8562c41a6a9cdd/model
svc,38b2c1fbc57b4a38ad541bd5a4a08cdc,1.0,1.0,1.0,runs:/38b2c1fbc57b4a38ad541bd5a4a08cdc/model
xgboost,4dfd5e86d2fd42388647ffe239e34894,0.6666666666666666,0.5555555555555555,0.5555555555555555,runs:/4dfd5e86d2fd42388647ffe239e34894/model
pytorch_mlp,f7feea9e2fc444459a02756c688495ba,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/f7feea9e2fc444459a02756c688495ba/model
