model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,073fea1f205a48b3bd63f7601d23276d,1.0,1.0,1.0,runs:/073fea1f205a48b3bd63f7601d23276d/model
gradient_boosting,f4c55172cfc1483a869c0237986c2769,1.0,1.0,1.0,runs:/f4c55172cfc1483a869c0237986c2769/model
svc,21746b86aeea462db2df7d944e714582,1.0,1.0,1.0,runs:/21746b86aeea462db2df7d944e714582/model
xgboost,9e049700140a4567bda13c3feeb434a4,1.0,1.0,1.0,runs:/9e049700140a4567bda13c3feeb434a4/model
logistic_regression,8a4d931872124034b8be3869cb021363,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/8a4d931872124034b8be3869cb021363/model
pytorch_mlp,0f786220b8fd486e916e49bb0689990d,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/0f786220b8fd486e916e49bb0689990d/model
