model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,98dd0ab03501437ebe457a487887d91c,1.0,1.0,1.0,runs:/98dd0ab03501437ebe457a487887d91c/model
gradient_boosting,27c2e8c8155a48199aa54757450ecd17,1.0,1.0,1.0,runs:/27c2e8c8155a48199aa54757450ecd17/model
svc,634f1b55e4bd4798acd08a51f934b5d9,1.0,1.0,1.0,runs:/634f1b55e4bd4798acd08a51f934b5d9/model
xgboost,b67f3865427a4de59566750d7f58d830,1.0,1.0,1.0,runs:/b67f3865427a4de59566750d7f58d830/model
logistic_regression,d84bb5c29ec24f789927d8d415861b1e,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/d84bb5c29ec24f789927d8d415861b1e/model
pytorch_mlp,be52417b870d472f9adbddb8eb910e61,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/be52417b870d472f9adbddb8eb910e61/model
