model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,083b20946a13453c96f62428eba066d0,1.0,1.0,1.0,runs:/083b20946a13453c96f62428eba066d0/model
gradient_boosting,240df3d6aaa84f0f840f73d48403b128,1.0,1.0,1.0,runs:/240df3d6aaa84f0f840f73d48403b128/model
svc,43373a1cf8144376a80c7ca784ffc052,1.0,1.0,1.0,runs:/43373a1cf8144376a80c7ca784ffc052/model
xgboost,773726a656744109ba9a28beb6deea2a,1.0,1.0,1.0,runs:/773726a656744109ba9a28beb6deea2a/model
logistic_regression,01c436601c7e45f48a5db9272c48973e,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/01c436601c7e45f48a5db9272c48973e/model
pytorch_mlp,25ea63cff6b74046a4a54df86ce69a26,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/25ea63cff6b74046a4a54df86ce69a26/model
