model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,50ba0b53379f49feb16cc9730de30e43,1.0,1.0,1.0,runs:/50ba0b53379f49feb16cc9730de30e43/model
gradient_boosting,0f45469a23fe41a389287c5c24ecafa1,1.0,1.0,1.0,runs:/0f45469a23fe41a389287c5c24ecafa1/model
svc,4b4d7b29f5054c6ba9606244b56d93cd,1.0,1.0,1.0,runs:/4b4d7b29f5054c6ba9606244b56d93cd/model
xgboost,64063c6e17484c4cb283dfc8e465f501,1.0,1.0,1.0,runs:/64063c6e17484c4cb283dfc8e465f501/model
logistic_regression,cdf5fdcbc9e5427385d6680aa79cc308,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/cdf5fdcbc9e5427385d6680aa79cc308/model
pytorch_mlp,7b521460daf64af9a9445f654941aace,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/7b521460daf64af9a9445f654941aace/model
