model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,281e856e262b450faa5e67551d759e8f,1.0,1.0,1.0,runs:/281e856e262b450faa5e67551d759e8f/model
gradient_boosting,71fdc954269948f9a46a44a333b29bc4,1.0,1.0,1.0,runs:/71fdc954269948f9a46a44a333b29bc4/model
svc,5f4ae817c0b0479eb9402f5307984997,1.0,1.0,1.0,runs:/5f4ae817c0b0479eb9402f5307984997/model
xgboost,73f2965bf1fa406ba2c302276b92c4a1,1.0,1.0,1.0,runs:/73f2965bf1fa406ba2c302276b92c4a1/model
logistic_regression,793abef95f194664a003a65fb373fca6,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/793abef95f194664a003a65fb373fca6/model
pytorch_mlp,5019fcd4f7ca4849b8d44c156874cb90,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/5019fcd4f7ca4849b8d44c156874cb90/model
