model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,bed23c9eaf3d46b2ad10ad26e1cd936b,1.0,1.0,1.0,runs:/bed23c9eaf3d46b2ad10ad26e1cd936b/model
gradient_boosting,ce368bb873da442b9935949678b6e9d5,1.0,1.0,1.0,runs:/ce368bb873da442b9935949678b6e9d5/model
svc,c247c8a8a9a64ef590a53daf7431ed75,1.0,1.0,1.0,runs:/c247c8a8a9a64ef590a53daf7431ed75/model
xgboost,f2bc742ecfb643cd9a59db6b200dc102,1.0,1.0,1.0,runs:/f2bc742ecfb643cd9a59db6b200dc102/model
logistic_regression,f4f948f2080e4033905f717cb94d9148,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/f4f948f2080e4033905f717cb94d9148/model
pytorch_mlp,c8a4d7c6a5244e1b8d28a241323656a6,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/c8a4d7c6a5244e1b8d28a241323656a6/model
