model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,5e555c281c274e858eab3af967eae54f,1.0,1.0,1.0,runs:/5e555c281c274e858eab3af967eae54f/model
gradient_boosting,f79afd6a013949ac9f74052cc6999b26,1.0,1.0,1.0,runs:/f79afd6a013949ac9f74052cc6999b26/model
svc,7ef8ee8df6c04054b9f33ddce2b562e8,1.0,1.0,1.0,runs:/7ef8ee8df6c04054b9f33ddce2b562e8/model
xgboost,e7531e6097b64319992e78d79b44e93e,1.0,1.0,1.0,runs:/e7531e6097b64319992e78d79b44e93e/model
logistic_regression,a498b84e693240fb8d71c37f0669d4c5,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/a498b84e693240fb8d71c37f0669d4c5/model
pytorch_mlp,38a766a16bd04a36b5ebf70146f3493c,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/38a766a16bd04a36b5ebf70146f3493c/model
