model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,b6088a3f956c4065ba28d1fbcabf9d5b,1.0,1.0,1.0,runs:/b6088a3f956c4065ba28d1fbcabf9d5b/model
gradient_boosting,277cfc4360ee41178ba151fac61f220d,1.0,1.0,1.0,runs:/277cfc4360ee41178ba151fac61f220d/model
svc,736ec4cded7b422e983b270a131799fe,1.0,1.0,1.0,runs:/736ec4cded7b422e983b270a131799fe/model
xgboost,6f2c279b432c438d9c012f61f73aa1ca,1.0,1.0,1.0,runs:/6f2c279b432c438d9c012f61f73aa1ca/model
logistic_regression,b9f588c229de4ce09135491e7a10c5f1,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/b9f588c229de4ce09135491e7a10c5f1/model
pytorch_mlp,e9a7f4e2d43549b7aebb713723a56fbd,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/e9a7f4e2d43549b7aebb713723a56fbd/model
