model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,88d31b11558e4e798f3f65aadf566c58,1.0,1.0,1.0,runs:/88d31b11558e4e798f3f65aadf566c58/model
gradient_boosting,aec1caa6080445d28edf46b125663e88,1.0,1.0,1.0,runs:/aec1caa6080445d28edf46b125663e88/model
svc,d89a068fbe3e49888189ea5bdf20e96e,1.0,1.0,1.0,runs:/d89a068fbe3e49888189ea5bdf20e96e/model
xgboost,4e10e29b4afe42169a8f3a45981cf8f3,1.0,1.0,1.0,runs:/4e10e29b4afe42169a8f3a45981cf8f3/model
logistic_regression,58f6357fc97d4b4e86bfd49f04ea8a7f,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/58f6357fc97d4b4e86bfd49f04ea8a7f/model
pytorch_mlp,731b6632b7d549919f5081fa106382ee,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/731b6632b7d549919f5081fa106382ee/model
