model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,71704915466f42b98c34fb843ca343a3,1.0,1.0,1.0,runs:/71704915466f42b98c34fb843ca343a3/model
gradient_boosting,baf4df6ec85d467c84f2b2ffa3fb3d48,1.0,1.0,1.0,runs:/baf4df6ec85d467c84f2b2ffa3fb3d48/model
svc,f3051d1820fb4a06b2b2ab3752a6c0a3,1.0,1.0,1.0,runs:/f3051d1820fb4a06b2b2ab3752a6c0a3/model
xgboost,fedc8090ade540d8ab793f184005aaf1,1.0,1.0,1.0,runs:/fedc8090ade540d8ab793f184005aaf1/model
logistic_regression,e6c6dfe0f2104681b5680acfe351b2c0,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/e6c6dfe0f2104681b5680acfe351b2c0/model
pytorch_mlp,a1402727b91249a4aa52037b03f20888,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/a1402727b91249a4aa52037b03f20888/model
