model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,087d9443a13245ef89cd12b8fc5e13f6,1.0,1.0,1.0,runs:/087d9443a13245ef89cd12b8fc5e13f6/model
gradient_boosting,d0c618d39fc141f58100dd639a2b73e8,1.0,1.0,1.0,runs:/d0c618d39fc141f58100dd639a2b73e8/model
svc,20663555ed4c4ac8ace4e029817e16e6,1.0,1.0,1.0,runs:/20663555ed4c4ac8ace4e029817e16e6/model
xgboost,5313784703d84b06839131f8856ee664,1.0,1.0,1.0,runs:/5313784703d84b06839131f8856ee664/model
logistic_regression,4c59a5d9f75b4d409e50e14f0a151227,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/4c59a5d9f75b4d409e50e14f0a151227/model
pytorch_mlp,9397936828f8472f9cb2730bb945ef3b,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/9397936828f8472f9cb2730bb945ef3b/model
