model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,afb8796bb72c4c849227a822efef511d,1.0,1.0,1.0,runs:/afb8796bb72c4c849227a822efef511d/model
gradient_boosting,0dd010838c01423f8bd456e83079a6b6,1.0,1.0,1.0,runs:/0dd010838c01423f8bd456e83079a6b6/model
svc,7b662e33e5c64385861fa2ddd4ad15ec,1.0,1.0,1.0,runs:/7b662e33e5c64385861fa2ddd4ad15ec/model
xgboost,425b4c39a9644777b76fb774260cb932,1.0,1.0,1.0,runs:/425b4c39a9644777b76fb774260cb932/model
logistic_regression,797d4f111b784ea2b9cfa15a257bb96b,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/797d4f111b784ea2b9cfa15a257bb96b/model
pytorch_mlp,97dc4b40928c4e06b7e94536231b664b,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/97dc4b40928c4e06b7e94536231b664b/model
