model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,056619cb9bef4c449de8fc9d7fcd29cd,1.0,1.0,1.0,runs:/056619cb9bef4c449de8fc9d7fcd29cd/model
gradient_boosting,d77f8ced9d764780a32c0323d5d3b96a,1.0,1.0,1.0,runs:/d77f8ced9d764780a32c0323d5d3b96a/model
svc,154145bce16244cca32e2b2353548626,1.0,1.0,1.0,runs:/154145bce16244cca32e2b2353548626/model
xgboost,9a3b01497b9a468283ef2178adaea6f2,1.0,1.0,1.0,runs:/9a3b01497b9a468283ef2178adaea6f2/model
logistic_regression,83f565bdc72a4b118b374f81533b0ab8,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/83f565bdc72a4b118b374f81533b0ab8/model
pytorch_mlp,c9f4a2c2abab486399f1e914165a6ee7,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/c9f4a2c2abab486399f1e914165a6ee7/model
