model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,68a2e5ed4e794ad599731028e8501e11,1.0,1.0,1.0,runs:/68a2e5ed4e794ad599731028e8501e11/model
gradient_boosting,6369a38986bd4b6d8a95b59ea17c4c56,1.0,1.0,1.0,runs:/6369a38986bd4b6d8a95b59ea17c4c56/model
svc,d2cf65720eb148dd854411c9c6f93a67,1.0,1.0,1.0,runs:/d2cf65720eb148dd854411c9c6f93a67/model
xgboost,b17cb4cc58b74046be6ce648cb25e04a,1.0,1.0,1.0,runs:/b17cb4cc58b74046be6ce648cb25e04a/model
logistic_regression,506c2f6e9f954eb6ba0db7b90a77e104,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/506c2f6e9f954eb6ba0db7b90a77e104/model
pytorch_mlp,0f78b29b6f564ac7ba271ff052428461,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/0f78b29b6f564ac7ba271ff052428461/model
