model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,03acc5c4adbb4895ae64b43f3589b4d7,1.0,1.0,1.0,runs:/03acc5c4adbb4895ae64b43f3589b4d7/model
gradient_boosting,d758b39cc0c44f65b91e98542fc1b9a8,1.0,1.0,1.0,runs:/d758b39cc0c44f65b91e98542fc1b9a8/model
svc,5394a3514c7c4bec86e6728738ad75d6,1.0,1.0,1.0,runs:/5394a3514c7c4bec86e6728738ad75d6/model
xgboost,9152ec9b945e4905a1eb8d6382ee79e3,1.0,1.0,1.0,runs:/9152ec9b945e4905a1eb8d6382ee79e3/model
logistic_regression,bea941c75779452d89080b691b4b0243,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/bea941c75779452d89080b691b4b0243/model
pytorch_mlp,f75143c2afc949bba64e036e6f877d67,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/f75143c2afc949bba64e036e6f877d67/model
