model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,860499dde5fd4e8cb512027fb13f7951,1.0,1.0,1.0,runs:/860499dde5fd4e8cb512027fb13f7951/model
gradient_boosting,21523e70b8e841b1a23a46a6f4a3c795,1.0,1.0,1.0,runs:/21523e70b8e841b1a23a46a6f4a3c795/model
svc,a2642ad622124c37a3b2f69e9fe2ae39,1.0,1.0,1.0,runs:/a2642ad622124c37a3b2f69e9fe2ae39/model
xgboost,ec14df694cad4508b10a230c757f6be6,1.0,1.0,1.0,runs:/ec14df694cad4508b10a230c757f6be6/model
logistic_regression,8fc5de2fdca745528f4975d6a208a4bd,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/8fc5de2fdca745528f4975d6a208a4bd/model
pytorch_mlp,2a2e7a5bc19045b28712cb90d9d6d08c,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/2a2e7a5bc19045b28712cb90d9d6d08c/model
