model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,cf0678ace0ab4caebba7d9aa1e53caa5,1.0,1.0,1.0,runs:/cf0678ace0ab4caebba7d9aa1e53caa5/model
gradient_boosting,12c5c55e62bb451ab3b1746ddbfa7121,1.0,1.0,1.0,runs:/12c5c55e62bb451ab3b1746ddbfa7121/model
svc,2eae20e95fe2400e8f13b6412c2c9e4e,1.0,1.0,1.0,runs:/2eae20e95fe2400e8f13b6412c2c9e4e/model
xgboost,11666703fed548f0bffeb2503a276a05,1.0,1.0,1.0,runs:/11666703fed548f0bffeb2503a276a05/model
logistic_regression,81fdaf0e6c2f472eb7646274aa119348,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/81fdaf0e6c2f472eb7646274aa119348/model
pytorch_mlp,2454053da55d403bac8f0e5ad1daf5be,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/2454053da55d403bac8f0e5ad1daf5be/model
