model_name,run_id,accuracy,macro_f1,weighted_f1,model_path
random_forest,d97f3bcea1b8421e8228c05c535ece72,1.0,1.0,1.0,runs:/d97f3bcea1b8421e8228c05c535ece72/model
gradient_boosting,4a52634f48b0420aa3a5a599ad2f013f,1.0,1.0,1.0,runs:/4a52634f48b0420aa3a5a599ad2f013f/model
svc,d1f6894e30f141a38c186da9743be000,1.0,1.0,1.0,runs:/d1f6894e30f141a38c186da9743be000/model
xgboost,cc4209a83df24703b966dc6687c8bf2d,1.0,1.0,1.0,runs:/cc4209a83df24703b966dc6687c8bf2d/model
logistic_regression,923e2589dccc4d93aacdd421af0c3c64,0.8333333333333334,0.8222222222222223,0.8222222222222223,runs:/923e2589dccc4d93aacdd421af0c3c64/model
pytorch_mlp,68ffa93dad934b0e992c5327bb6218f2,0.3333333333333333,0.16666666666666666,0.16666666666666666,runs:/68ffa93dad934b0e992c5327bb6218f2/model
